FRXX0001;Aix-en-Provence
FRXX0002;Albi
FRXX0003;Annemasse
FRXX0004;Antibes
FRXX0005;Arnage
FRXX0006;Aubagne
FRXX0007;Aubervilliers
FRXX0008;Auxerre
FRXX0009;Aytre
FRXX0010;Bayeux
FRXX0011;Beauvais
FRXX0012;Belfort
FRXX0013;Beziers
FRXX0014;Blois
FRXX0015;Bobigny
FRXX0016;Bordeaux
FRXX0017;Bourg-en-Bresse
FRXX0018;Bourges
FRXX0019;Brest
FRXX0020;Caen
FRXX0021;Cagnes-sur-Mer
FRXX0022;Cahors
FRXX0023;Cannes
FRXX0024;Carbon-Blanc
FRXX0025;Carcassonne
FRXX0026;Carquefou
FRXX0027;Castelnau-de-Medoc
FRXX0028;Chantilly
FRXX0029;Chartres
FRXX0030;Chateauroux
FRXX0031;Chatelaillon
FRXX0032;Cherbourg
FRXX0033;Cholet
FRXX0034;Colmar
FRXX0035;Coulans
FRXX0036;Dijon
FRXX0037;Dreux
FRXX0038;Evreux
FRXX0039;Fabregues
FRXX0040;Frejus
FRXX0041;Grasse
FRXX0042;Haguenau
FRXX0043;La Bazoge
FRXX0044;La Rochelle
FRXX0045;Landerneau
FRXX0046;Le Grand-Quevilly
FRXX0047;Le Havre
FRXX0048;Le Mans
FRXX0049;Lens
FRXX0050;Les Sables-d'Olonne
FRXX0051;Libourne
FRXX0052;Lille
FRXX0053;Lisieux
FRXX0054;Lorient
FRXX0055;Lyon
FRXX0056;Macon
FRXX0057;Malicorne
FRXX0058;Marignane
FRXX0059;Marseille
FRXX0060;Meaux
FRXX0061;Melun
FRXX0062;Menton
FRXX0063;Merignac
FRXX0064;Metz
FRXX0065;Mondeville
FRXX0066;Montargis
FRXX0067;Montauban
FRXX0068;Montpellier
FRXX0069;Mont-Saint-Aignan
FRXX0070;Morlaix
FRXX0071;Mulhouse
FRXX0072;Nantes
FRXX0073;Nice
FRXX0074;Orleans
FRXX0075;Orvault
FRXX0076;Paris
FRXX0077;Paris/Charles De Gaulle
FRXX0078;Pessac
FRXX0079;Quimper
FRXX0080;Reims
FRXX0081;Reze
FRXX0082;Roanne
FRXX0083;Rochefort
FRXX0084;Roubaix
FRXX0085;Rouen
FRXX0086;Saint-Brieuc
FRXX0087;Saint-Denis
FRXX0088;Saint-Die
FRXX0089;Saint-Etienne-du-Rouvray
FRXX0090;Saint-Lo
FRXX0091;Saint-Nazaire
FRXX0092;Saint-Raphael
FRXX0093;Salon-de-Provence
FRXX0094;Sete
FRXX0095;Strasbourg
FRXX0096;Talence
FRXX0097;Tarbes
FRXX0098;Toulon
FRXX0099;Toulouse
FRXX0100;Tours
FRXX0101;Troyes
FRXX0102;Valence
FRXX0103;Valognes
FRXX0104;Vendargues
FRXX0105;Venissieux
FRXX0106;Versailles
FRXX0107;Vienne
FRXX0108;Vierzon
