XXXX0000;-------- FRANCE ---------
FRXX1438;Abancourt
FRXX0111;Abbeville
FRXX1570;Ablon-sur-Seine
FRXX5930;Abondant
FRXX4851;Abscon
FRXX1220;Achen
FRXX5834;Achenheim
FRXX5109;Acheres
FRXX3754;Acheres-la-Foret
FRXX1618;Acigne
FRXX1542;Aeroport D'Orly
FRXX4397;Agde
FRXX0135;Agen
FRXX2840;Agon-Coutainville
FRXX3723;Aibes
FRXX6269;Aigues-Vives
FRXX2409;Aiguilles
FRXX7004;Ailly-sur-Somme
FRXX1137;Aimargues
FRXX0328;Aire-sur-l'Adour
FRXX0001;Aix-en-Provence
FRXX0129;Ajaccio
FRXX0002;Albi
FRXX4998;Albias
FRXX0440;Albiez Montrond
FRXX5217;Albiosc
FRXX0207;Alencon
FRXX0427;Ales
FRXX2266;Alexain
FRXX3052;Alfortville
FRXX1222;Algrange
FRXX1123;Alleins
FRXX5858;Allennes-les-Marais
FRXX4206;Allonnes
FRXX1013;Allos
FRXX4417;Allouagne
FRXX2655;Alsting
FRXX2896;Amanvillers
FRXX2836;Ambes
FRXX3382;Ambierle
FRXX4205;Ambleteuse
FRXX0349;Amboise
FRXX2133;Amfreville-la-Mi-Voie
FRXX0269;Amiens
FRXX4148;Ammerschwihr
FRXX1950;Amneville
FRXX6432;Ampus
FRXX0453;Ancelle
FRXX0305;Ancenis
FRXX0216;Ancette
FRXX0323;Andernos-les-Bains
FRXX1617;Andresy
FRXX0137;Angers
FRXX5958;Angerville
FRXX6590;Angles
FRXX5606;Anglet
FRXX0314;Angouleme
FRXX1092;Angoulins-sur-Mer
FRXX6582;Angres
FRXX0360;Annecy
FRXX4327;Annecy-le-Vieux
FRXX0003;Annemasse
FRXX4359;Annoeullin
FRXX0409;Annonay
FRXX6307;Anor
FRXX0004;Antibes
FRXX0294;Antony
FRXX1347;Anzin
FRXX6703;Appoigny
FRXX0428;Apt
FRXX1384;Arbeost
FRXX3648;Arcachon
FRXX6174;Arc-et-Senans
FRXX1553;Arches
FRXX6766;Arcueil
FRXX0463;Areches Beaufort
FRXX3722;Ares
FRXX5717;Argeles Plage
FRXX0368;Argentan
FRXX0282;Argenteuil
FRXX0464;Argentiere
FRXX0005;Arnage
FRXX4972;Arques
FRXX2194;Arradon
FRXX0543;Arreau
FRXX1510;Arrest
FRXX6222;Arvert
FRXX0544;Arvieux
FRXX2925;Arvillers
FRXX2652;Arzviller
FRXX4829;Asco
FRXX0288;Asnieres-sur-Seine
FRXX3900;Aspremont
FRXX6720;Athis-Mons
FRXX0006;Aubagne
FRXX5945;Auberchicourt
FRXX0007;Aubervilliers
FRXX3790;Aubignan
FRXX4542;Aubigne-Racan
FRXX0399;Aubigney-sur-Nere
FRXX4246;Auby
FRXX0138;Auch
FRXX4289;Audenge
FRXX6560;Augny
FRXX0285;Aulnay-sous-Bois
FRXX5319;Aulnay-sur-Mauldre
FRXX4899;Aurec-sur-Loire
FRXX3277;Aureille
FRXX3160;Auribeau-sur-Siagne
FRXX0139;Aurillac
FRXX1802;Auriol
FRXX0545;Auris En Oisans
FRXX0541;Auron Saint Etienne de Tinee
FRXX3927;Aurons
FRXX0509;Aussois
FRXX0529;Autrans
FRXX6095;Auvers-sur-Oise
FRXX0008;Auxerre
FRXX0396;Avallon
FRXX5053;Avesnes-les-Aubert
FRXX1444;Avesnes-le-Sec
FRXX0270;Avignon
FRXX4969;Avion
FRXX6213;Avord
FRXX0466;Avoriaz
FRXX5387;Avrille
FRXX0436;Ax-les-Thermes
FRXX0009;Aytre
FRXX1053;Badevel
FRXX4317;Bages
FRXX2216;Bagneux
FRXX4605;Bagnolet
FRXX7701;Bagnols-sur-Ceze
FRXX5316;Baho
FRXX4297;Bailleul-sur-Therain
FRXX3560;Bailly
FRXX2782;Baixas
FRXX3306;Balaruc-les-Bains
FRXX3054;Ballancourt-sur-Essonne
FRXX1521;Balmont
FRXX5732;Bandol
FRXX2787;Banyuls de la Marenda
FRXX2315;Barbatre
FRXX6195;Barbentane
FRXX0217;Bareges
FRXX0203;Bar-le-Duc
FRXX2941;Bassens
FRXX7705;Basse-Terre
FRXX5474;Bastelica
FRXX3240;Bastelicaccia
FRXX0130;Bastia
FRXX5104;Batilly
FRXX6485;Batz-sur-Mer
FRXX4854;Bauvin
FRXX0010;Bayeux
FRXX1891;Bayonne
FRXX0324;Bazas
FRXX1383;Bazet
